!CSV A.01.01
!Keysight Technologies,N5221B,MY61256098,A.15.70.20
!Date: Tuesday, December 12, 2023 03:50:34
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
1000,-3.2718236,-163.15727
1007.6579688019,-3.2679496,-163.21927
1015.3745820899,-3.2659748,-163.29123
1023.1502889618,-3.2637858,-163.37247
1030.9855419543,-3.2600958,-163.45984
1038.8807970698,-3.2549934,-163.55983
1046.8365138026,-3.2520437,-163.66338
1054.853155166,-3.2496247,-163.77269
1062.9311877189,-3.245995,-163.89146
1071.071081593,-3.2419934,-164.01285
1079.2733105204,-3.2388482,-164.13708
1087.5383518611,-3.2382777,-164.26025
1095.8666866305,-3.2363801,-164.38135
1104.2587995277,-3.2340019,-164.50433
1112.7151789637,-3.2332165,-164.61967
1121.2363170896,-3.2337339,-164.73926
1129.8227098254,-3.2360938,-164.86414
1138.4748568889,-3.2397554,-164.98564
1147.1932618247,-3.2430501,-165.10539
1155.9784320335,-3.2455149,-165.22276
1164.8308788017,-3.2499583,-165.33929
1173.751117331,-3.2535233,-165.4514
1182.7396667687,-3.256748,-165.56259
1191.7970502376,-3.2575836,-165.6756
1200.9237948665,-3.2573977,-165.78633
1210.120431821,-3.2597032,-165.89799
1219.3874963344,-3.2626143,-166.01233
1228.7255277388,-3.266464,-166.1236
1238.1350694963,-3.2637644,-166.23575
1247.616669231,-3.264957,-166.34335
1257.1708787607,-3.2644804,-166.45274
1266.7982541289,-3.2657177,-166.56378
1276.4993556373,-3.2669704,-166.66913
1286.2747478784,-3.2676058,-166.77197
1296.1249997683,-3.2674396,-166.8781
1306.0506845798,-3.2656157,-166.98726
1316.052379976,-3.2640679,-167.09564
1326.1306680435,-3.2588007,-167.20126
1336.2861353266,-3.258173,-167.31329
1346.5193728614,-3.2590199,-167.41762
1356.8309762099,-3.2569041,-167.52148
1367.2215454951,-3.2573802,-167.62825
1377.6916854358,-3.2597203,-167.72935
1388.2420053815,-3.2600887,-167.83229
1398.8731193482,-3.2598972,-167.93289
1409.5856460539,-3.2639086,-168.03313
1420.380208955,-3.2642674,-168.13129
1431.257436282,-3.2659793,-168.23616
1442.2179610765,-3.2665298,-168.33371
1453.2624212279,-3.2661912,-168.43762
1464.3914595107,-3.2645154,-168.53806
1475.6057236213,-3.2628319,-168.63625
1486.9058662167,-3.2617733,-168.73755
1498.2925449515,-3.2624931,-168.8344
1509.7664225169,-3.2634225,-168.92653
1521.3281666787,-3.2619529,-169.01598
1532.9784503165,-3.2633991,-169.11176
1544.717951463,-3.2676635,-169.21103
1556.547353343,-3.2696946,-169.31004
1568.4673444136,-3.2674944,-169.4048
1580.4786184039,-3.2662122,-169.50235
1592.5818743557,-3.267071,-169.59581
1604.7778166639,-3.2666323,-169.68527
1617.0671551179,-3.2669771,-169.78203
1629.4506049423,-3.2666988,-169.86909
1641.9288868392,-3.2689493,-169.95778
1654.5027270295,-3.2710593,-170.04074
1667.1728572958,-3.2747416,-170.12616
1679.9400150243,-3.2802904,-170.20901
1692.8049432484,-3.2877707,-170.29814
1705.7683906915,-3.2928202,-170.38739
1718.8311118106,-3.2961371,-170.47925
1731.9938668406,-3.30106,-170.57275
1745.2574218379,-3.3032558,-170.65752
1758.6225487256,-3.3052676,-170.74092
1772.090025338,-3.3076496,-170.82097
1785.6606354662,-3.3114264,-170.90608
1799.3351689034,-3.3178544,-170.98468
1813.114421491,-3.3207366,-171.06914
1826.999195165,-3.3269727,-171.15097
1840.9902980026,-3.3323073,-171.22961
1855.0885442693,-3.3381152,-171.31291
1869.2947544661,-3.339987,-171.39745
1883.6097553773,-3.3553262,-171.4794
1898.0343801189,-3.3667631,-171.56358
1912.5694681868,-3.3788948,-171.64885
1927.2158655056,-3.4003158,-171.72079
1941.9744244781,-3.4220278,-171.79648
1956.8460040348,-3.438256,-171.87483
1971.8314696838,-3.4538312,-171.95
1986.9316935612,-3.4742727,-172.02922
2002.147554482,-3.4968443,-172.10672
2017.479937991,-3.5181966,-172.18387
2032.9297364146,-3.5356622,-172.26161
2048.4978489125,-3.548948,-172.34064
2064.1851815302,-3.5667882,-172.41808
2079.9926472517,-3.5884435,-172.49319
2095.9211660525,-3.6113143,-172.56796
2111.9716649533,-3.6264648,-172.63618
2128.145078074,-3.6400113,-172.71329
