,t,ramp,trans_pd,mzi_pd
0,-0.0053750588,-0.80402,0.21212814,1.49846996
1,-0.0053740587999999995,-0.7839195,0.21494221,1.4679172
2,-0.005373058799999999,-0.7839195,0.21494221,1.49846996
3,-0.005372058799999999,-0.7839195,0.21494221,1.4679172
4,-0.0053710588,-0.80402,0.21775628,1.49846996
5,-0.0053700588,-0.80402,0.21494221,1.52902272
6,-0.0053690588,-0.7839195,0.21775628,1.4679172
7,-0.0053680588,-0.763819,0.21494221,1.52902272
8,-0.0053670587999999995,-0.7839195,0.21775628,1.52902272
9,-0.005366058799999999,-0.7839195,0.21494221,1.55957548
10,-0.0053650588,-0.80402,0.21775628,1.5901282399999999
11,-0.0053640588,-0.80402,0.21494221,1.620681
12,-0.0053630588,-0.8241205,0.21494221,1.620681
13,-0.0053620588,-0.80402,0.20931407,1.65123376
14,-0.0053610587999999995,-0.80402,0.21494221,1.74289204
15,-0.005360058799999999,-0.7839195,0.21212814,1.7123392800000001
16,-0.005359058799999999,-0.7839195,0.21494221,1.80399756
17,-0.0053580588,-0.7839195,0.21494221,1.83455032
18,-0.0053570588,-0.844221,0.22057035,1.9262086
19,-0.0053560588,-0.7839195,0.21494221,2.0789724
20,-0.0053550588,-0.7839195,0.21494221,2.14007792
21,-0.0053540587999999995,-0.7839195,0.20931407,2.2622889600000002
22,-0.005353058799999999,-0.8241205,0.21775628,2.35394724
23,-0.0053520588,-0.80402,0.21494221,2.44560552
24,-0.0053510588,-0.80402,0.22057035,2.5372638
25,-0.0053500588,-0.7839195,0.21212814,2.75113312
26,-0.0053490588,-0.7839195,0.21494221,2.90389692
27,-0.0053480587999999996,-0.80402,0.21494221,3.05666072
28,-0.005347058799999999,-0.7839195,0.21775628,3.11776624
29,-0.005346058799999999,-0.7839195,0.21494221,3.23997728
30,-0.0053450588,-0.7839195,0.21494221,3.33163556
31,-0.0053440588,-0.7839195,0.21494221,3.3927410800000004
32,-0.0053430588,-0.80402,0.21494221,3.4843993600000003
33,-0.0053420588,-0.80402,0.21494221,3.5149521200000002
34,-0.0053410587999999995,-0.8241205,0.21212814,3.54550488
35,-0.005340058799999999,-0.7839195,0.21775628,3.6066104
36,-0.0053390588,-0.80402,0.21212814,3.63716316
37,-0.0053380588,-0.80402,0.21494221,3.63716316
38,-0.0053370588,-0.80402,0.21775628,3.66771592
39,-0.0053360588,-0.80402,0.21494221,3.63716316
40,-0.0053350588,-0.80402,0.21775628,3.63716316
41,-0.0053340587999999994,-0.80402,0.21775628,3.63716316
42,-0.005333058799999999,-0.80402,0.21494221,3.6066104
43,-0.0053320588,-0.80402,0.21775628,3.57605764
44,-0.0053310588,-0.80402,0.21494221,3.6066104
45,-0.0053300588,-0.80402,0.21494221,3.6066104
46,-0.0053290588,-0.763819,0.21494221,3.6066104
47,-0.0053280587999999995,-0.7839195,0.21212814,3.57605764
48,-0.005327058799999999,-0.7839195,0.21775628,3.6066104
49,-0.0053260588,-0.763819,0.22057035,3.54550488
50,-0.0053250588,-0.7839195,0.21494221,3.4538466000000003
51,-0.0053240588,-0.7437185000000001,0.21494221,3.5149521200000002
52,-0.0053230588,-0.7839195,0.21775628,3.33163556
53,-0.0053220588,-0.80402,0.21775628,3.3010828
54,-0.0053210587999999994,-0.763819,0.21775628,3.1788717600000003
55,-0.005320058799999999,-0.7839195,0.21494221,3.11776624
56,-0.0053190588,-0.763819,0.21494221,3.05666072
57,-0.0053180588,-0.7839195,0.21212814,2.8733441600000003
58,-0.0053170588,-0.7839195,0.21212814,2.81223864
59,-0.0053160588,-0.763819,0.21775628,2.6900276
60,-0.0053150587999999995,-0.80402,0.21212814,2.6900276
61,-0.005314058799999999,-0.80402,0.21494221,2.59836932
62,-0.005313058799999999,-0.80402,0.21494221,2.59836932
63,-0.0053120588,-0.7839195,0.21212814,2.5678165600000002
64,-0.0053110588,-0.7839195,0.21494221,2.50671104
65,-0.0053100588,-0.763819,0.21775628,2.5372638
66,-0.0053090588,-0.7839195,0.21494221,2.5372638
67,-0.0053080587999999995,-0.7839195,0.21212814,2.5678165600000002
68,-0.005307058799999999,-0.7839195,0.21494221,2.59836932
69,-0.0053060588,-0.763819,0.21494221,2.5678165600000002
70,-0.0053050588,-0.763819,0.21212814,2.65947484
71,-0.0053040588,-0.7839195,0.21775628,2.6900276
72,-0.0053030588,-0.7839195,0.21494221,2.78168588
73,-0.0053020587999999995,-0.80402,0.21212814,2.81223864
74,-0.005301058799999999,-0.7839195,0.21494221,2.90389692
75,-0.005300058799999999,-0.7839195,0.21212814,2.9955552
76,-0.0052990588,-0.80402,0.21212814,3.08721348
77,-0.0052980588,-0.7839195,0.21494221,3.11776624
78,-0.0052970588,-0.763819,0.21775628,3.148319
79,-0.0052960588,-0.7839195,0.21775628,3.1788717600000003
80,-0.0052950587999999995,-0.763819,0.21494221,3.2094245200000002
81,-0.005294058799999999,-0.7839195,0.21775628,3.2094245200000002
82,-0.0052930588,-0.7839195,0.21494221,3.23997728
83,-0.0052920588,-0.80402,0.21494221,3.23997728
84,-0.0052910588,-0.80402,0.21212814,3.2094245200000002
85,-0.0052900588,-0.763819,0.21494221,3.2094245200000002
86,-0.0052890587999999995,-0.763819,0.21494221,3.1788717600000003
87,-0.005288058799999999,-0.7839195,0.21494221,3.08721348
88,-0.005287058799999999,-0.7839195,0.21494221,3.05666072
89,-0.0052860588,-0.80402,0.21494221,2.93444968
90,-0.0052850588,-0.763819,0.21494221,2.72058036
91,-0.0052840588,-0.763819,0.21494221,2.59836932
92,-0.0052830588,-0.763819,0.21494221,2.47615828
93,-0.0052820587999999995,-0.7839195,0.21775628,2.29284172
94,-0.005281058799999999,-0.7839195,0.21775628,2.0789724
95,-0.0052800588,-0.763819,0.20931407,1.95676136
96,-0.0052790588,-0.7839195,0.21212814,1.74289204
97,-0.0052780588,-0.80402,0.21212814,1.65123376
98,-0.0052770588,-0.80402,0.21212814,1.55957548
99,-0.0052760587999999995,-0.7839195,0.21494221,1.49846996
100,-0.005275058799999999,-0.763819,0.21212814,1.49846996
101,-0.005274058799999999,-0.80402,0.21494221,1.52902272
102,-0.0052730588,-0.763819,0.21494221,1.65123376
103,-0.0052720588,-0.763819,0.21775628,1.80399756
104,-0.0052710588,-0.7839195,0.22057035,1.95676136
105,-0.0052700588,-0.80402,0.21494221,2.17063068
106,-0.0052690587999999995,-0.7437185000000001,0.21494221,2.32339448
107,-0.005268058799999999,-0.7839195,0.21212814,2.59836932
108,-0.0052670588,-0.80402,0.21494221,2.75113312
109,-0.0052660588,-0.763819,0.22057035,2.93444968
110,-0.0052650588,-0.763819,0.21775628,2.9955552
111,-0.0052640588,-0.7839195,0.21494221,3.11776624
112,-0.0052630587999999996,-0.7839195,0.21775628,3.1788717600000003
113,-0.005262058799999999,-0.763819,0.21494221,3.23997728
114,-0.005261058799999999,-0.80402,0.22057035,3.33163556
115,-0.0052600588,-0.763819,0.21775628,3.3927410800000004
116,-0.0052590588,-0.763819,0.21775628,3.36218832
117,-0.0052580588,-0.7839195,0.21775628,3.4232938400000004
118,-0.0052570588,-0.763819,0.21775628,3.4538466000000003
119,-0.0052560587999999995,-0.7839195,0.22057035,3.4843993600000003
120,-0.005255058799999999,-0.763819,0.21494221,3.54550488
121,-0.0052540588,-0.7437185000000001,0.21775628,3.5149521200000002
122,-0.0052530588,-0.763819,0.21775628,3.4843993600000003
123,-0.0052520588,-0.7839195,0.21494221,3.4843993600000003
124,-0.0052510588,-0.7839195,0.21494221,3.4843993600000003
125,-0.0052500587999999996,-0.7839195,0.22057035,3.5149521200000002
126,-0.005249058799999999,-0.763819,0.21775628,3.57605764
127,-0.005248058799999999,-0.7839195,0.21775628,3.54550488
128,-0.0052470588,-0.763819,0.22338442,3.54550488
129,-0.0052460588,-0.7839195,0.21775628,3.6066104
130,-0.0052450588,-0.7839195,0.21775628,3.6066104
131,-0.0052440588,-0.7839195,0.21494221,3.63716316
132,-0.0052430587999999995,-0.7839195,0.21775628,3.63716316
133,-0.005242058799999999,-0.763819,0.22338442,3.63716316
134,-0.0052410588,-0.7839195,0.22057035,3.5149521200000002
135,-0.0052400588,-0.763819,0.21775628,3.3927410800000004
136,-0.0052390588,-0.80402,0.22057035,3.23997728
137,-0.0052380588,-0.7839195,0.21775628,2.9955552
138,-0.0052370588,-0.763819,0.21775628,2.8427914000000003
